UNIQUE_IDENTIFIER,LIST_ID,LISTED_WATER_NAME,DETAILED_CAUSE,PARENT_CAUSE,CYCLE_YEAR,STATE,HUC8_LIST,FEATUREDETAILURL
AL03130003-0101-100<<=>>2010,AL03130003-0101-100,MILL CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3130003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03130003-0101-100&p_cycle=2010&p_state=AL
AL03130003-0101-100<<=>>2010,AL03130003-0101-100,MILL CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3130003,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03130003-0101-100&p_cycle=2010&p_state=AL
AL03130012-0101-410<<=>>2010,AL03130012-0101-410,CYPRESS CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3130012,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03130012-0101-410&p_cycle=2010&p_state=AL
AL03130012-0101-410<<=>>2010,AL03130012-0101-410,CYPRESS CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3130012,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03130012-0101-410&p_cycle=2010&p_state=AL
AL03130012-0101-410<<=>>2010,AL03130012-0101-410,CYPRESS CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3130012,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03130012-0101-410&p_cycle=2010&p_state=AL
AL03140103-0102-700<<=>>2010,AL03140103-0102-700,UNNAMED TRIBUTARY TO JACKSON LAKE 2-S,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140103,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140103-0102-700&p_cycle=2010&p_state=AL
AL03140103-0102-700<<=>>2010,AL03140103-0102-700,UNNAMED TRIBUTARY TO JACKSON LAKE 2-S,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140103,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140103-0102-700&p_cycle=2010&p_state=AL
AL03140103-0102-800<<=>>2010,AL03140103-0102-800,UNNAMED TRIBUTARY TO JACKSON LAKE 3-C,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140103,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140103-0102-800&p_cycle=2010&p_state=AL
AL03140103-0102-800<<=>>2010,AL03140103-0102-800,UNNAMED TRIBUTARY TO JACKSON LAKE 3-C,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140103,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140103-0102-800&p_cycle=2010&p_state=AL
AL03140106-0302-101<<=>>2010,AL03140106-0302-101,BRUSHY CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140106-0302-101&p_cycle=2010&p_state=AL
AL03140106-0302-101<<=>>2010,AL03140106-0302-101,BRUSHY CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140106-0302-101&p_cycle=2010&p_state=AL
AL03140106-0302-202<<=>>2010,AL03140106-0302-202,BOGGY BRANCH,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140106-0302-202&p_cycle=2010&p_state=AL
