,ID,Chemical_Name,MinLimit,MaxLimit,Units
0,36,N,,,
1,36,P,MON,MON,MG/L
2,36,TKN,,,
3,36,ORGN,,,
4,36,AMMONIA,,,
5,36,INORGN,,,
6,36,NITRATE,,,
7,36,PO4,,,
8,66,N,MON,MON,MG/L
9,66,P,MON,MON,MG/L
10,66,TKN,,,
11,66,ORGN,,,
12,66,AMMONIA,MON,MON,MG/L
13,66,INORGN,,,
14,66,NITRATE,,,
15,66,PO4,,,
16,90,N,,,
17,90,P,MON,MON,MG/L
18,90,TKN,,,
19,90,ORGN,,,
20,90,AMMONIA,10,17,MG/L
21,90,INORGN,,,
22,90,NITRATE,,,
23,90,PO4,,,
24,176,N,MON,MON,MG/L
25,176,P,,,
26,176,TKN,,,
27,176,ORGN,,,
28,176,AMMONIA,,,
29,176,INORGN,,,
30,176,NITRATE,,,
31,176,PO4,,,
32,192,N,MON,MON,MG/L
33,192,P,MON,MON,MG/L
34,192,TKN,,,
35,192,ORGN,,,
36,192,AMMONIA,,,
37,192,INORGN,,,
38,192,NITRATE,,,
39,192,PO4,,,
40,195,N,,,
41,195,P,MON,MON,MG/L
42,195,TKN,,,
43,195,ORGN,,,
44,195,AMMONIA,MON,MON,MG/L
45,195,INORGN,,,
46,195,NITRATE,,,
47,195,PO4,,,
48,358,N,MON,MON,MG/L
49,358,P,MON,MON,MG/L
50,358,TKN,,,
51,358,ORGN,,,
52,358,AMMONIA,,,
53,358,INORGN,,,
54,358,NITRATE,,,
55,358,PO4,,,
56,457,N,,,
57,457,P,,,
58,457,TKN,,,
59,457,ORGN,,,
60,457,AMMONIA,MON,MON,MG/L
61,457,INORGN,,,
62,457,NITRATE,,,
63,457,PO4,,,
64,462,N,,,
65,462,P,,,
66,462,TKN,,,
67,462,ORGN,,,
68,462,AMMONIA,MON,MON,MG/L
69,462,INORGN,,,
70,462,NITRATE,,,
71,462,PO4,,,
72,467,N,MON,MON,MG/L
73,467,P,MON,MON,MG/L
74,467,TKN,,,
75,467,ORGN,,,
76,467,AMMONIA,,,
77,467,INORGN,,,
78,467,NITRATE,,,
79,467,PO4,,,
80,472,N,MON,MON,MG/L
81,472,P,MON,MON,MG/L
82,472,TKN,,,
83,472,ORGN,,,
84,472,AMMONIA,,,
85,472,INORGN,,,
86,472,NITRATE,,,
87,472,PO4,,,
88,533,N,MON,MON,MG/L
89,533,P,MON,MON,MG/L
90,533,TKN,,,
91,533,ORGN,,,
92,533,AMMONIA,,,
93,533,INORGN,,,
94,533,NITRATE,,,
95,533,PO4,,,
96,536,N,MON,MON,MG/L
97,536,P,MON,MON,MG/L
98,536,TKN,,,
99,536,ORGN,,,
100,536,AMMONIA,,,
101,536,INORGN,,,
102,536,NITRATE,,,
103,536,PO4,,,
104,539,N,MON,MON,MG/L
105,539,P,MON,MON,MG/L
106,539,TKN,,,
107,539,ORGN,,,
108,539,AMMONIA,,,
109,539,INORGN,,,
110,539,NITRATE,,,
111,539,PO4,,,
112,540,N,MON,MON,MG/L
113,540,P,MON,MON,MG/L
114,540,TKN,,,
115,540,ORGN,,,
116,540,AMMONIA,,,
117,540,INORGN,,,
118,540,NITRATE,,,
119,540,PO4,,,
120,542,N,MON,MON,MG/L
121,542,P,MON,MON,MG/L
122,542,TKN,,,
123,542,ORGN,,,
124,542,AMMONIA,,,
125,542,INORGN,,,
126,542,NITRATE,,,
127,542,PO4,,,
128,543,N,MON,MON,MG/L
129,543,P,MON,MON,MG/L
130,543,TKN,,,
131,543,ORGN,,,
132,543,AMMONIA,,,
133,543,INORGN,,,
134,543,NITRATE,,,
135,543,PO4,,,
136,6000,N,MON,MON,MG/L
137,6000,P,MON,MON,MG/L
138,6000,TKN,,,
139,6000,ORGN,,,
140,6000,AMMONIA,,,
141,6000,INORGN,,,
142,6000,NITRATE,,,
143,6000,PO4,,,
144,6027,N,MON,MON,MG/L
145,6027,P,MON,MON,MG/L
146,6027,TKN,,,
147,6027,ORGN,,,
148,6027,AMMONIA,,,
149,6027,INORGN,,,
150,6027,NITRATE,,,
151,6027,PO4,,,
152,6031,N,MON,MON,MG/L
153,6031,P,MON,MON,MG/L
154,6031,TKN,,,
155,6031,ORGN,,,
156,6031,AMMONIA,,,
157,6031,INORGN,,,
158,6031,NITRATE,,,
159,6031,PO4,,,
160,6032,N,MON,MON,MG/L
161,6032,P,MON,MON,MG/L
162,6032,TKN,,,
163,6032,ORGN,,,
164,6032,AMMONIA,,,
165,6032,INORGN,,,
166,6032,NITRATE,,,
167,6032,PO4,,,
168,6034,N,MON,MON,MG/L
169,6034,P,MON,MON,MG/L
170,6034,TKN,,,
171,6034,ORGN,,,
172,6034,AMMONIA,,,
173,6034,INORGN,,,
174,6034,NITRATE,,,
175,6034,PO4,,,
176,6082,N,MON,MON,MG/L
177,6082,P,MON,MON,MG/L
178,6082,TKN,,,
179,6082,ORGN,,,
180,6082,AMMONIA,,,
181,6082,INORGN,,,
182,6082,NITRATE,,,
183,6082,PO4,,,
184,6097,N,MON,MON,MG/L
185,6097,P,MON,MON,MG/L
186,6097,TKN,,,
187,6097,ORGN,,,
188,6097,AMMONIA,,,
189,6097,INORGN,,,
190,6097,NITRATE,,,
191,6097,PO4,,,
192,6099,N,MON,MON,MG/L
193,6099,P,MON,MON,MG/L
194,6099,TKN,,,
195,6099,ORGN,,,
196,6099,AMMONIA,,,
197,6099,INORGN,,,
198,6099,NITRATE,,,
199,6099,PO4,,,
200,6106,N,MON,MON,MG/L
201,6106,P,MON,MON,MG/L
202,6106,TKN,,,
203,6106,ORGN,,,
204,6106,AMMONIA,,,
205,6106,INORGN,,,
206,6106,NITRATE,,,
207,6106,PO4,,,
208,6797,N,MON,MON,MG/L
209,6797,P,MON,MON,MG/L
210,6797,TKN,MON,MON,MG/L
