,State,Month,Year,AvgTempC,AbnormalHiFlag,AbnormalLoFlag
0,AK,1,2008,-16.654054054054054,0,0
1,AK,1,2009,-16.57322834645669,0,0
2,AK,1,2010,-14.33333333333333,0,0
3,AK,1,2011,-12.333093525179857,0,0
4,AK,1,2012,-20.6568345323741,0,0
5,AK,2,2009,-12.783088235294116,0,0
6,AK,2,2010,-9.275352112676057,0,0
7,AK,2,2011,-13.372727272727271,0,0
8,AK,3,2008,-8.96439393939394,0,0
9,AK,3,2009,-11.61888111888112,0,0
10,AK,3,2010,-8.616891891891893,0,0
11,AK,3,2011,-9.340666666666666,0,0
12,AK,3,2012,-9.48235294117647,0,0
13,AK,4,2008,-2.811627906976744,0,0
14,AK,4,2009,-1.1635714285714287,0,0
15,AK,4,2010,-0.0331081081081081,0,0
16,AK,4,2011,-1.6906666666666668,0,0
17,AK,4,2012,0.5487179487179488,0,0
18,AK,5,2008,5.4601503759398495,0,0
19,AK,5,2009,6.990476190476191,0,0
20,AK,5,2010,7.904545454545454,0,0
21,AK,5,2011,7.112258064516129,0,0
22,AK,5,2012,3.8579617834394906,0,0
23,AK,6,2008,10.983673469387757,0,0
24,AK,6,2009,11.511764705882353,0,0
25,AK,6,2010,11.30920245398773,0,0
26,AK,6,2011,11.170552147239263,0,0
27,AK,6,2012,10.004166666666666,0,0
28,AK,7,2008,11.502649006622516,0,0
29,AK,7,2009,15.32264150943396,0,0
30,AK,7,2010,12.339520958083831,0,0
31,AK,7,2011,12.60062893081761,0,0
32,AK,7,2012,11.852,0,0
33,AK,8,2008,9.42012987012987,0,0
34,AK,8,2009,10.734615384615385,0,0
35,AK,8,2010,11.656962025316457,0,0
36,AK,8,2011,10.635928143712576,0,0
37,AK,8,2012,9.7731843575419,0,0
38,AK,9,2008,5.046031746031746,0,0
39,AK,9,2009,6.811347517730497,0,0
40,AK,9,2010,6.677551020408163,0,0
41,AK,9,2011,6.728125,0,0
42,AK,9,2012,4.825988700564972,0,0
43,AK,10,2008,-6.449664429530201,0,0
44,AK,10,2009,-0.037086092715231785,0,0
45,AK,10,2010,-1.624025974025974,0,0
46,AK,10,2011,-0.8907407407407405,0,0
47,AK,10,2012,-3.938121546961326,0,0
48,AK,11,2008,-11.104137931034483,0,0
49,AK,11,2009,-12.152777777777777,0,0
50,AK,11,2010,-7.307746478873239,0,0
51,AK,11,2011,-14.816149068322979,0,0
52,AK,11,2012,-14.17909604519774,0,0
53,AK,12,2008,-14.251851851851855,0,0
54,AK,12,2009,-10.677697841726618,0,0
55,AK,12,2010,-17.73111111111111,0,0
56,AK,12,2011,-10.173684210526316,0,0
57,AK,12,2012,-16.861146496815287,0,0
58,AL,1,2008,5.76,0,0
59,AL,1,2009,7.683333333333333,0,0
60,AL,1,2010,4.383333333333333,0,0
61,AL,1,2011,5.416666666666666,0,0
62,AL,1,2012,10.65,0,0
